HKL Value		Reward	TotalReward	Chi Squared Value	Z Coordinate Approximation
4 0 4			0	0	0	0.3
6 4 0			-1	-1	0.0129575014962	0.281676391049
2 0 14			-1	-2	0.0194785708514	0.280469393863
2 2 10			-1	-3	0.0430892165855	0.279467228111
1 3 1			-1	-4	1.81129057395	0.279132621268
0 0 20			0.5	-3.5	1.70830802915	0.27999241276
1 3 15			0.5	-3.0	1.45831281735	0.280842827279
4 6 0			0.5	-2.5	1.25594731811	0.280842827279
6 0 10			0.5	-2.0	1.1688620688	0.28034844627
0 0 10			0.5	-1.5	1.08647459091	0.279991772026
2 4 10			0.5	-1.0	0.98754938437	0.280105980156
0 6 10			0.5	-0.5	0.934868800613	0.279867701033
4 2 10			0.5	0.0	0.860032228344	0.279923914879
6 2 10			0.5	0.5	0.822442420715	0.279727656774
4 4 10			0.5	1.0	0.763697596804	0.27972958825
2 6 10			0.5	1.5	0.726284672669	0.279615602453
4 0 10			0.5	2.0	0.687634396107	0.279539495822
3 1 9			-1	1.0	0.744442316473	0.279524869403
6 4 2			0.5	1.5	0.728390343859	0.279534579353
3 3 3			-1	0.5	2.62663586133	0.279688269413
4 6 2			0.5	1.0	2.50331827447	0.279695532148
0 4 10			0.5	1.5	2.39591170905	0.279589723805
7 3 1			0.5	2.0	2.29430358797	0.2795825698
9 1 1			0.5	2.5	2.19460194644	0.2795825698
4 2 14			-1	1.5	2.19547167694	0.279734343028
5 1 9			-1	0.5	2.56289243078	0.279719470583
3 1 15			0.5	1.0	2.4997633391	0.279969852072
7 1 3			-1	0.0	4.01218593779	0.280109531468
6 0 8			0.5	0.5	3.95314790705	0.280069833437
1 1 3			-1	-0.5	4.59703623199	0.280129729335
4 2 2			0.5	0.0	4.52169288687	0.280117087357
0 6 2			0.5	0.5	4.39959287245	0.280117087357
0 0 14			-1	-0.5	4.78795731656	0.280412342065
0 6 8			0.5	0.0	4.72272221726	0.280380888217
2 0 10			0.5	0.5	4.67560175626	0.280560733014
2 0 16			0.5	1.0	4.65230323699	0.280575519795
3 7 1			0.5	1.5	4.52879647755	0.280568194495
2 4 14			0.5	2.0	4.44619508307	0.280654721345
1 5 7			-1	1.0	14.2938364257	0.278898683243
2 4 2			0.5	1.5	13.999423815	0.278887355836
5 5 1			0.5	2.0	13.6507103654	0.278887355836
0 4 0			-1	1.0	25.6229013089	0.278887355836
0 2 10			0.5	1.5	25.1320610117	0.279128634991
6 0 2			0.5	2.0	24.5577784357	0.279122021336
3 5 9			0.5	2.5	24.2261511695	0.27910952311
0 2 16			0.5	3.0	23.8071612653	0.279164027866
3 3 9			0.5	3.5	23.3799296487	0.279157717106
3 5 1			0.5	4.0	22.9520124615	0.27913632318
6 0 0			0.5	4.5	22.5710424488	0.27913632318
0 2 14			0.5	5.0	22.1104755982	0.27912614575
0 6 16			0.5	5.5	21.6924087061	0.279161076727
0 6 14			0.5	6.0	21.3523702552	0.279347071141
1 3 9			0.5	6.5	20.9588912223	0.279339909862
3 3 15			0.5	7.0	20.7159265186	0.280134191948
5 3 9			0.5	7.5	20.5368370327	0.280118559855
1 7 1			0.5	8.0	20.2070732747	0.280104206226
