HKL Value		Reward	TotalReward	Chi Squared Value
2 2 16		0	0	0
0 4 20		-1	-1	1.64947933627
0 4 18		-1	-2	1.90609246792
3 1 13		-1	-3	26.6745407545
0 4 10		0.5	-2.5	20.9885824298
4 2 8		-1	-3.5	21.3386407219
0 2 16		0.5	-3.0	18.9083292689
2 0 16		0.5	-2.5	17.447804763
0 6 14		0.5	-2.0	16.4382666786
2 2 16		-1	-3.0	16.4392881009
0 6 16		0.5	-2.5	16.1719742146
2 0 16		-1	-3.5	16.9371757284
0 2 16		-1	-4.5	17.2999926932
1 1 15		0.5	-4.0	16.1333371447
2 2 4		-1	-5.0	16.8351918857
2 0 14		0.5	-4.5	16.034062869
2 2 8		-1	-5.5	29.1881174534
3 5 9		0.5	-5.0	27.1315799275
5 1 7		-1	-6.0	27.4099588519
1 5 5		-1	-7.0	31.9198196549
7 1 3		0.5	-6.5	31.4687190415
0 0 8		-1	-7.5	38.5809975648
4 0 10		0.5	-7.0	36.5534956428
1 1 9		0.5	-6.5	35.8123873661
0 4 8		-1	-7.5	43.6229327751
4 0 4		0.5	-7.0	42.6931479465
4 6 2		0.5	-6.5	40.8762044922
4 2 8		-1	-7.5	42.0811285888
0 6 10		0.5	-7.0	40.3371063735
0 2 8		-1	-8.0	41.9282362731
1 7 5		-1	-9.0	43.1681138986
4 6 4		0.5	-8.5	42.4601347212
2 2 12		0.5	-8.0	41.7481923305
2 6 8		-1	-9.0	46.6153405885
0 4 6		-1	-10.0	53.1971513047
3 1 11		-1	-11.0	59.4655898898
6 2 10		0.5	-10.5	57.6072932528
6 2 10		0.5	-10.0	57.6072897717
1 1 9		-1	-11.0	58.970387536
5 1 7		-1	-12.0	60.1395456927
6 4 6		0.5	-11.5	58.5987474602
6 0 10		0.5	-11.0	56.8752568772
6 0 10		-1	-12.0	56.8752595231
4 0 10		-1	-13.0	56.8756533357
1 3 5		-1	-14.0	59.5128171652
3 1 11		-1	-15.0	67.0546773143
6 4 6		-1	-16.0	67.3650829096
3 3 11		-1	-17.0	71.3032652772
6 4 6		-1	-18.0	71.6139017342
4 4 10		0.5	-17.5	69.6846029152
1 7 3		0.5	-17.0	68.4656881807
6 0 8		0.5	-16.5	66.7435158214
2 4 10		0.5	-16.0	65.0907328786
5 5 5		-1	-17.0	65.2469146959
7 3 3		0.5	-16.5	64.0989002094
5 1 7		-1	-17.5	64.9893101887
5 1 9		0.5	-17.0	63.6047859823
3 5 9		-1	-18.0	63.6410360897
3 5 7		0.5	-17.5	62.6128528657
2 0 8		-1	-18.5	62.907790265
3 3 3		0.5	-18.0	61.9746150424
5 5 7		0.5	-17.5	61.2102619058
3 5 9		-1	-18.5	61.2605162977
1 1 3		0.5	-18.0	60.2474640377
3 5 5		-1	-19.0	61.056314254
4 6 2		-1	-20.0	61.087317753
2 2 4		-1	-21.0	61.7005576822
1 5 3		0.5	-20.5	60.8534164588
6 0 2		0.5	-20.0	59.7057888199
2 6 4		0.5	-19.5	59.0276056804
2 6 2		-1	-20.5	59.8171566037
0 4 4		0.5	-20.0	59.1711123182
0 0 4		0.5	-19.5	58.4891237248
2 0 6		0.5	-19.0	57.6746190127
2 4 4		0.5	-18.5	57.5584079645
0 4 8		-1	-19.5	61.2932111345
0 4 2		-1	-20.5	62.0419110822
1 7 1		0.5	-20.0	61.1099984829
1 7 7		0.5	-19.5	60.2747216559
5 1 5		-1	-20.5	60.8933931024
7 3 5		0.5	-20.0	60.8638002776
1 5 3		-1	-21.0	61.2124361285
3 1 5		-1	-22.0	62.5316483959
4 2 6		0.5	-21.5	61.5567270305
0 6 2		0.5	-21.0	60.6526354201
1 7 1		-1	-22.0	60.7842908418
0 6 0		0.5	-21.5	59.9617806888
7 3 3		-1	-22.5	60.2497798535
3 5 5		-1	-23.5	61.9062695025
0 6 2		-1	-24.5	61.9648375509
3 5 5		-1	-25.5	63.64981097
3 5 5		-1	-26.5	65.349248167
1 5 5		-1	-27.5	66.9812609907
2 0 4		-1	-28.5	67.3193272733
0 0 2		-1	-29.5	67.510868683
6 4 2		0.5	-29.0	66.5433071782
2 2 2		-1	-30.0	67.0133457567
6 0 6		0.5	-29.5	66.084018072
3 7 3		0.5	-29.0	65.4182933988
4 0 6		-1	-30.0	67.895063603
4 4 2		-1	-31.0	68.3189203878
2 6 2		-1	-32.0	69.8098087713
4 6 2		-1	-33.0	69.8330333866
0 6 2		-1	-34.0	69.8900058047
0 0 4		-1	-35.0	70.2344767845
2 6 4		-1	-36.0	70.6150196884
7 3 1		0.5	-35.5	69.7137128637
2 0 4		-1	-36.5	71.035728623
6 4 2		-1	-37.5	71.0499850324
3 1 3		0.5	-37.0	70.3842723649
0 4 4		-1	-38.0	70.7618391406
7 3 1		-1	-39.0	70.8102635069
4 2 2		0.5	-38.5	69.9681790476
