HKL Value		Reward			TotalReward	Chi Squared Value	Z Coordinate Approximation		dx
2 2 16			0			0		0		0.3
1 3 1			0			0		72.6482981563		0.28271717422
2 0 2			-67.4630792071			-67.4630792071		140.111377363		0.284824550192
4 4 4			-328.088993166			-395.552072374		468.20037053		0.291750653126
1 5 3			57.934389444			-337.61768293		352.331591642		0.291817507887
7 1 7			171.787409314			-165.830273616		8.75677301455		0.346492752098
4 6 2			-21.5166172494			-187.346890865		30.2733902639		0.349089069954
2 4 2			-0.201677470632			-187.548568336		30.4750677345		0.349662258588
3 5 1			1.56315609508			-185.985412241		27.3487555444		0.349719895778
0 4 4			1.04584737797			-184.939564863		25.2570607884		0.34997913842
1 7 5			0.395287315657			-184.544277547		24.4664861571		0.349192020597
5 1 11			-0.304211468618			-184.848489016		24.7706976257		0.34730688014
2 2 0			0.919011655347			-183.92947736		22.932674315		0.34730688014
6 2 6			-44.2825022909			-228.211979651		67.215176606		0.350676442842
2 2 10			1.60055683871			-226.611422813		64.0140629285		0.350635309859
6 2 0			-15.1485921098			-241.760014922		79.1626550383		0.350628274293
0 2 2			2.33022210859			-239.429792814		74.5022108211		0.350723245006
2 6 6			-26.4843341559			-265.91412697		100.986544977		0.353126250609
4 2 10			-2.39941514044			-268.31354211		103.385960117		0.353946473736
0 0 22			-5.74245879141			-274.056000902		109.128418909		0.34779269503
3 1 9			0.392131217061			-273.663869684		108.344156475		0.348854821429
6 2 4			2.32513933694			-271.338730348		103.693877801		0.348926802411
2 0 8			-2.99077477875			-274.329505126		106.68465258		0.350358747938
2 2 6			-0.204525512276			-274.534030639		106.889178092		0.350563322024
4 4 6			-14.3538712704			-288.887901909		121.243049362		0.351052193039
5 1 5			2.33967535751			-286.548226552		116.563698647		0.35100847218
6 2 8			2.10500439028			-284.443222161		112.353689867		0.350922019733
0 6 6			0.309613969938			-284.133608191		111.734461927		0.351143607644
4 2 0			1.5094503669			-282.624157824		108.715561193		0.35114349583
0 6 14			1.5508913477			-281.073266477		105.613778498		0.351156941724
3 3 15			1.75544279182			-279.317823685		102.102892914		0.351183844526
0 2 8			0.100304596518			-279.217519088		101.902283721		0.351768956209
3 5 11			0.232485145862			-278.985033942		101.437313429		0.351449293156
2 6 0			-6.18864734017			-285.173681283		107.625960769		0.351449293156
1 3 9			0.836691094028			-284.336990189		105.952578581		0.351738684364
0 4 8			1.44919663861			-282.88779355		103.054185304		0.351685272964
2 6 2			1.42973032338			-281.458063227		100.194724657		0.351685272964
1 7 3			1.35352286445			-280.104540362		97.4876789285		0.351685272964
1 7 1			1.1980719107			-278.906468452		95.0915351071		0.351696069634
0 4 12			-23.0785923054			-301.985060757		118.170127413		0.353761154033
0 2 4			1.4735877429			-300.511473014		115.222951927		0.353759789399
2 0 4			1.40085560865			-299.110617405		112.421240709		0.353749790211
1 5 13			1.29164233207			-297.818975073		109.837956045		0.353768969768
2 0 12			1.25519583397			-296.563779239		107.327564377		0.353816925699
0 0 8			1.11406502083			-295.449714219		105.099434336		0.353746216476
5 3 5			1.00901145343			-294.440702765		103.081411429		0.353688138484
0 2 14			1.08522457068			-293.355478194		100.910962287		0.353688138484
0 4 14			-4.2146392734			-297.570117468		105.125601561		0.353370722214
4 0 10			0.806043330482			-296.764074137		103.5135149		0.353331225376
5 3 9			1.0263390164			-295.737735121		101.460836867		0.353371536388
2 4 8			0.925311919685			-294.812423201		99.6102130278		0.353448456271
0 6 8			0.975686550291			-293.836736651		97.6588399272		0.353448456271
4 6 0			-0.378584386182			-294.215321037		98.0374243134		0.353448456271
5 5 5			0.380854956119			-293.834466081		97.2757144011		0.353328228057
3 3 1			0.861164119656			-292.973301961		95.5533861618		0.353328700934
0 6 16			0.738028900543			-292.235273061		94.0773283607		0.353491668689
4 2 6			0.44669296863			-291.788580092		93.1839424235		0.353575968889
2 2 2			0.809797324558			-290.978782768		91.5643477743		0.353575968889
2 0 10			0.204676105235			-290.774106662		91.1549955639		0.353654175172
1 5 9			0.675281345173			-290.098825317		89.8044328735		0.353735257209
0 4 10			0.491561967996			-289.607263349		88.8213089375		0.353691386965
3 3 11			0.220940051417			-289.386323298		88.3794288347		0.353535483285
5 5 7			0.710388302574			-288.675934995		86.9586522296		0.353535483285
7 3 1			0.55607366527			-288.11986133		85.846504899		0.35354473009
7 1 3			0.670623954698			-287.449237375		84.5052569896		0.35354473009
2 0 16			0.627922747938			-286.821314627		83.2494114937		0.353598429793
4 2 8			0.573202119756			-286.248112508		82.1030072542		0.353652740855
1 7 7			0.611554349916			-285.636558158		80.8798985544		0.353652740855
2 2 12			-7.86215878564			-293.498716943		88.74205734		0.354759848695
1 1 7			0.642741689779			-292.855975254		87.4565739605		0.354759744651
6 0 2			0.310090704554			-292.545884549		86.8363925514		0.35479745805
0 4 6			-1.02364076037			-293.569525309		87.8600333117		0.354958202124
2 0 14			0.583011934355			-292.986513375		86.694009443		0.354958202124
1 1 17			-1.96165709608			-294.948170471		88.6556665391		0.355157914011
1 5 7			0.599021393161			-294.349149078		87.4576237528		0.355158142206
4 2 14			0.503543569869			-293.845605508		86.4505366131		0.355158142206
1 1 5			0.562934419737			-293.282671088		85.3246677736		0.355173603716
6 4 0			-0.460078740357			-293.742749829		85.7847465139		0.355175756752
4 0 0			0.210615091852			-293.532134737		85.3635163302		0.355175756752
1 1 3			0.536922991867			-292.995211745		84.2896703465		0.355175756752
0 0 4			0.50304470532			-292.49216704		83.2835809359		0.355175756752
6 4 2			-0.217101064554			-292.709268104		83.5006820004		0.355288383123
0 6 2			0.289710720108			-292.419557384		82.9212605602		0.355334174683
4 4 2			0.499425133611			-291.92013225		81.922410293		0.355336343746
2 0 6			0.471189085966			-291.448943164		80.980032121		0.355353412336
4 0 2			0.476046733076			-290.972896431		80.0279386549		0.355353610995
0 2 10			0.154673165626			-290.818223266		79.7185923236		0.355448537445
0 6 0			0.195139184365			-290.623084081		79.3283139549		0.355448537445
4 6 4			-0.570863314723			-291.193947396		79.8991772696		0.355360398679
5 1 9			0.433158636815			-290.760788759		79.032859996		0.355392830035
