HKL Value		Reward		TotalReward	Chi Squared	Z Appr. 	Error	Two-Thetas	Sfs2
5 3 9			0.0		0.0		0.0		0.3	0.4833	65.0662013285	20.8409
0 0 16			0.0		0.0		0.04		0.31779	1.3342	64.286058028	116.6634
5 1 7			-1.0		-1.0		12.73		0.32373	0.2609	54.1000446603	4.252
4 6 0			0.5		-0.5		8.5		0.32373	0.7863	67.1083315067	59.4729
3 7 5			-0.6		-1.1		21.32		0.32437	1.0548	74.7470539899	89.5814
6 4 0			0.25		-0.85		17.05		0.32437	1.8287	67.0910631577	58.6803
1 3 15			0.11		-0.74		15.36		0.32212	0.2862	67.3623786269	8.1809
2 6 8			-0.61		-1.35		39.21		0.32247	4.3291	67.1483383839	218.3417
2 4 10			0.14		-1.21		34.44		0.32218	0.607	57.0555982332	12.0937
0 2 14			0.08		-1.12		31.75		0.32239	0.2479	58.6982494177	6.3292
3 1 15			0.1		-1.03		28.94		0.32119	0.2871	67.3554895111	7.7692
3 5 9			0.1		-0.93		26.39		0.32103	0.4755	65.0802252419	19.5165
6 0 6			0.09		-0.84		24.24		0.32096	1.0815	60.1501886982	39.9969
4 6 2			0.08		-0.76		22.44		0.32093	0.2349	67.657370766	5.5969
2 4 8			0.02		-0.74		22.05		0.32163	0.1687	51.4325245866	2.4593
6 0 2			0.06		-0.68		20.73		0.32162	0.2214	55.354768557	5.4487
5 1 9			0.05		-0.63		19.73		0.32118	0.4583	58.9619928854	19.0838
9 1 1			0.06		-0.57		18.67		0.32114	0.8793	87.9915459652	19.6393
6 4 2			0.06		-0.52		17.67		0.32113	0.2211	67.6401768609	4.8049
1 5 9			0.04		-0.48		17.03		0.32064	0.4394	58.984264935	17.7365
0 4 12			0.02		-0.46		16.69		0.3214	1.4889	60.4300914167	161.7651
1 5 5			-0.19		-0.65		20.61		0.32158	1.8923	50.2743192378	127.3636
0 6 8			0.05		-0.6		19.72		0.32167	0.7694	64.1950429677	5.6946
2 4 14			0.04		-0.56		18.96		0.32167	0.5221	70.6383718296	19.4111
6 0 8			0.04		-0.52		18.22		0.32177	2.9234	64.163237895	5.3359
3 3 15			0.01		-0.51		17.96		0.32034	0.3402	73.0835579415	3.8877
3 1 9			0.02		-0.49		17.56		0.31996	0.36	45.2950695798	8.7768
0 6 2			0.03		-0.45		17.01		0.31994	0.2356	55.3895592761	6.1752
1 5 11			-0.25		-0.7		22.56		0.31999	1.8219	64.7342781598	204.7444
2 0 10			0.03		-0.67		21.9		0.31978	0.6169	42.9543880851	20.236
3 3 9			0.03		-0.64		21.3		0.31952	0.3816	52.4524123761	12.0632
1 3 9			0.02		-0.62		20.93		0.31905	0.2622	45.3040218183	7.1674
0 6 6			0.03		-0.59		20.28		0.31903	1.0147	60.183190367	40.9583
0 0 18			0.02		-0.58		19.96		0.31797	0.6609	73.530655613	37.988
0 6 18			0.02		-0.56		19.58		0.31724	0.7949	98.0280769063	1.8601
6 4 6			0.02		-0.54		19.18		0.31713	0.9247	71.9614498967	41.9809
0 2 20			0.02		-0.52		18.86		0.3165	0.4494	86.0769303832	2.8517
2 0 14			0.02		-0.5		18.46		0.31637	0.2634	58.6945218607	7.3942
