HKL Value		Reward		TotalReward	Chi Squared	Z Appr. 	Error	Two-Thetas	Sfs2
1 5 7			0.0		0.0		0.0		0.3	0.6035	54.1236034243	4.2528
1 5 1			0.0		0.0		9.47		0.33576	0.4978	46.196563203	27.3004
7 1 5			-1.83		-1.83		11.3		0.38146	1.5264	69.0427278305	98.726
0 2 16			1.67		-0.15		7.95		0.38421	1.8687	67.2407114996	13.8307
2 2 16			0.85		0.7		6.25		0.38318	1.1693	70.1293332912	108.6018
7 1 1			-1.18		-0.48		7.42		0.38311	0.5207	65.7483230412	25.2044
2 2 2			-11.03		-11.51		18.45		0.38359	1.1162	26.2109248846	125.5642
0 2 10			1.25		-10.26		15.96		0.38398	0.4317	42.9590557724	21.0204
0 0 4			-3.25		-13.51		19.21		0.38406	0.8482	15.2869714585	59.1035
0 6 10			0.84		-12.68		17.53		0.38299	0.8527	69.1637693973	8.5049
0 2 14			0.86		-11.81		15.81		0.38275	0.2479	58.6982494177	6.3292
3 1 5			-3.07		-14.88		18.88		0.38326	2.8985	34.1781376955	186.2389
2 0 16			0.7		-14.19		17.48		0.3839	0.5935	67.2372591268	11.8907
3 7 3			-1.22		-15.41		18.71		0.3837	0.8954	72.6346668965	71.6226
2 6 6			-15.77		-31.18		34.48		0.38264	5.383	63.2392339525	346.2148
2 2 4			-1.11		-32.29		35.59		0.38268	0.7551	29.4672289371	73.6026
