HKL Value		Reward		TotalReward	Chi Squared	Z Appr. 	Error	Two-Thetas	Sfs2
2 0 8			0.0		0.0		0.0		0.3	0.1665	35.7565424018	1.5727
0 2 20			0.0		0.0		2.44		0.28562	0.4494	86.0769303832	2.8517
4 2 14			0.43		0.43		1.54		0.28563	1.2576	70.6282605877	19.9713
3 1 13			0.45		0.88		1.08		0.28582	0.3869	59.4126405656	11.7895
3 3 1			0.42		1.3		1.83		0.28576	0.5106	38.1558496662	33.1617
3 3 3			0.19		1.48		8.13		0.28606	0.8081	39.7679129272	70.9373
5 3 1			0.2		1.69		7.53		0.28599	0.5252	53.2386121167	32.835
0 2 8			0.23		1.91		6.71		0.28553	0.1155	35.7619852008	1.7384
7 1 1			0.24		2.16		6.17		0.28549	0.5207	65.7483230412	25.2044
2 4 8			0.27		2.43		5.52		0.28555	0.1687	51.4325245866	2.4593
1 1 9			0.25		2.68		5.9		0.28624	0.2216	37.1193146943	1.1702
7 3 1			0.27		2.95		5.4		0.28623	0.5095	71.5359286583	22.1332
1 7 1			0.28		3.23		5.2		0.28617	0.5219	65.7901743415	26.2984
0 6 2			0.29		3.52		4.87		0.28616	0.2356	55.3895592761	6.1752
6 0 6			0.25		3.78		5.93		0.28661	1.0815	60.1501886982	39.9969
5 1 1			0.26		4.04		5.76		0.28655	0.5346	46.1701152	26.7419
0 2 10			0.27		4.31		5.41		0.28661	0.4317	42.9590557724	21.0204
1 1 5			0.05		4.35		16.61		0.28634	1.9661	22.8949597146	247.5537
1 1 15			0.05		4.4		16.43		0.28607	0.656	61.3839959686	20.6242
6 0 4			0.05		4.45		16.52		0.28579	0.7069	57.1830782131	42.6751
6 0 10			0.05		4.5		16.04		0.28483	1.0728	69.1331306246	8.9056
4 2 12			0.06		4.56		15.38		0.28483	0.2244	63.468523569	4.7972
2 2 4			0.06		4.62		14.7		0.28478	0.7551	29.4672289371	73.6026
1 5 1			0.07		4.69		14.21		0.28473	0.4978	46.196563203	27.3004
0 2 12			0.07		4.76		14.05		0.2846	0.3827	50.6142203783	17.5707
2 0 10			0.08		4.84		13.51		0.28474	0.6169	42.9543880851	20.236
4 4 4			0.09		4.93		13.0		0.28469	0.8476	53.9354251327	76.9211
2 6 4			0.09		5.02		12.52		0.28468	0.8772	60.3635846112	78.02
5 1 13			0.1		5.12		12.08		0.28486	0.4567	71.2764535317	11.3258
6 2 10			0.1		5.22		11.88		0.2842	0.7103	71.9901825081	43.9921
0 2 14			0.11		5.33		11.52		0.28416	0.2479	58.6982494177	6.3292
1 1 13			0.12		5.45		11.17		0.28433	0.3722	52.9310122384	10.9703
2 0 2			0.11		5.56		11.23		0.2843	0.6502	19.2320929378	35.9547
0 0 20			0.12		5.68		10.9		0.28406	0.4542	83.3712939521	4.3689
1 3 1			0.12		5.8		10.81		0.28403	0.5324	28.3265170018	42.1271
3 5 9			0.12		5.92		10.81		0.28398	0.4755	65.0802252419	19.5165
4 2 10			0.13		6.05		10.55		0.28378	1.1102	57.0442200735	11.3144
4 4 12			0.1		6.16		11.83		0.28321	1.9475	72.2035773977	130.2426
3 1 1			0.11		6.26		11.72		0.28317	0.5239	28.3131072915	41.7464
0 6 6			0.1		6.36		12.01		0.28337	1.0147	60.183190367	40.9583
4 2 2			0.1		6.47		11.77		0.28336	0.457	40.8620305525	12.2524
2 2 14			0.1		6.57		12.01		0.28354	1.0835	61.7979105177	101.9829
2 4 10			0.11		6.67		11.74		0.28341	0.607	57.0555982332	12.0937
1 5 9			0.11		6.78		11.72		0.28338	0.4394	58.984264935	17.7365
3 7 3			0.1		6.88		12.2		0.2835	0.8954	72.6346668965	71.6226
5 1 9			0.1		6.97		12.19		0.28347	0.4583	58.9619928854	19.0838
3 1 11			0.06		7.04		14.84		0.28259	2.3814	52.0481274199	292.2152
4 2 0			0.06		7.1		14.79		0.28259	0.9287	40.0811891304	86.5118
0 6 0			0.07		7.16		14.62		0.28259	1.4277	54.7714555341	59.4019
9 1 1			0.07		7.23		14.32		0.28259	0.8793	87.9915459652	19.6393
6 0 0			0.07		7.3		14.13		0.28259	0.7256	54.7363985401	55.434
0 2 16			0.07		7.38		13.96		0.28255	1.8687	67.2407114996	13.8307
4 0 10			0.08		7.45		13.73		0.28228	0.6243	53.7713327333	45.2096
4 6 6			0.08		7.53		13.77		0.28249	1.1903	71.9781772466	41.9784
2 2 2			0.06		7.58		15.46		0.2825	1.1162	26.2109248846	125.5642
0 0 12			0.04		7.62		17.95		0.28152	3.2426	47.0346015839	274.3783
