HKL Value		Reward		TotalReward	Chi Squared	Z Appr. 	Error	Two-Thetas	Sfs2
2 4 10			0.0		0.0		0.0		0.3	0.607	57.0555982332	12.0937
1 3 15			0.0		0.0		4.75		0.34821	0.2862	67.3623786269	8.1809
3 7 1			2.17		2.17		5.04		0.34804	1.2822	71.5694631273	22.2453
4 6 0			3.13		5.3		3.37		0.34804	0.7863	67.1083315067	59.4729
4 6 4			1.38		6.68		6.65		0.3487	1.0731	69.291881243	33.3045
3 1 13			1.92		8.6		6.7		0.34884	0.3869	59.4126405656	11.7895
7 3 1			2.01		10.61		6.47		0.34862	0.5095	71.5359286583	22.1332
4 2 12			2.38		12.98		5.36		0.36304	0.2244	63.468523569	4.7972
0 6 16			2.45		15.43		4.7		0.36251	0.4825	89.3859051251	7.6515
0 6 10			2.32		17.74		4.68		0.36232	0.8527	69.1637693973	8.5049
2 4 12			2.47		20.22		4.34		0.36178	0.2205	63.4791913795	4.8908
6 0 12			2.61		22.82		3.95		0.36167	0.5892	74.995462768	0.9301
2 4 14			2.65		25.47		3.71		0.36111	0.5221	70.6383718296	19.4111
0 6 14			2.65		28.12		3.62		0.36048	0.9096	81.7552219026	27.2955
6 0 0			2.58		30.7		3.7		0.36048	0.7256	54.7363985401	55.434
1 1 13			2.71		33.42		3.51		0.36123	0.3722	52.9310122384	10.9703
0 6 2			2.72		36.14		3.43		0.36132	0.2356	55.3895592761	6.1752
3 5 1			2.36		38.5		4.01		0.36121	0.5283	53.2544885252	31.9012
0 6 4			1.99		40.5		5.1		0.36141	0.6675	57.2171401797	42.9768
0 6 0			2.18		42.68		5.17		0.36141	1.4277	54.7714555341	59.4019
